id,adult,imdb_id,original_title,video,homepage,title,tagline,release_date,genres,belongs_to_collection,original_language,budget,revenue,runtime,vote_average,vote_count,popularity,production_countries,director,production_companies
299534,False,tt4154796,Avengers: Endgame,False,https://www.marvel.com/movies/avengers-endgame,Avengers: Endgame,Avenge the fallen.,2019-04-24,"['Adventure', 'Science Fiction', 'Action']","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,356000000,2799439100,181,8.238,26214,26.9856,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]","['Anthony Russo', 'Joe Russo']",['Marvel Studios']
19995,False,tt0499549,Avatar,False,https://www.avatar.com/movies/avatar,Avatar,Enter the world of Pandora.,2009-12-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/gxnvX9kF7RRUQYvB52dMLPgeJkt.jpg'}",en,237000000,2923706026,162,7.588,32126,32.3911,"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",['James Cameron'],"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']"
140607,False,tt2488496,Star Wars: The Force Awakens,False,http://www.starwars.com/films/star-wars-episode-vii,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,"['Adventure', 'Action', 'Science Fiction']","{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/aSrMJYmQX8kpF26LijkCsYhBMvm.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}",en,245000000,2068223624,136,7.3,19667,13.0107,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['J.J. Abrams'],"['Lucasfilm Ltd.', 'Bad Robot']"
299536,False,tt4154756,Avengers: Infinity War,False,https://www.marvel.com/movies/avengers-infinity-war,Avengers: Infinity War,Destiny arrives all the same.,2018-04-25,"['Adventure', 'Action', 'Science Fiction']","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,300000000,2052415039,149,8.235,30394,34.0939,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]","['Joe Russo', 'Anthony Russo']",['Marvel Studios']
597,False,tt0120338,Titanic,False,https://www.paramountmovies.com/movies/titanic,Titanic,Nothing on Earth could come between them.,1997-11-18,"['Drama', 'Romance']",,en,200000000,2264162353,194,7.905,25873,37.215,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['James Cameron'],"['Paramount Pictures', '20th Century Fox', 'Lightstorm Entertainment']"
135397,False,tt0369610,Jurassic World,False,https://www.jurassicworld.com/,Jurassic World,The park is open.,2015-06-06,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/njFixYzIxX8jsn6KMSEtAzi4avi.jpg'}",en,150000000,1671537444,124,6.693,20628,19.2426,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Colin Trevorrow'],"['Amblin Entertainment', 'Universal Pictures']"
420818,False,tt6105098,The Lion King,False,https://movies.disney.com/the-lion-king-2019,The Lion King,The king has returned.,2019-07-12,"['Adventure', 'Drama', 'Family', 'Animation']","{'id': 762512, 'name': 'The Lion King (Reboot) Collection', 'poster_path': '/dGpIRn4Nqi63JO1RlKxjcPbQSAw.jpg', 'backdrop_path': '/1KeXF239BkqLChcAcF8gKl1stZz.jpg'}",en,260000000,1662020819,118,7.11,10303,22.4849,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Jon Favreau'],"['Walt Disney Pictures', 'Fairview Entertainment']"
24428,False,tt0848228,The Avengers,False,https://www.marvel.com/movies/the-avengers,The Avengers,Some assembly required.,2012-04-25,"['Science Fiction', 'Action', 'Adventure']","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,220000000,1518815515,143,7.735,31521,35.1429,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Joss Whedon'],['Marvel Studios']
168259,False,tt2820852,Furious 7,False,https://www.uphe.com/movies/furious-7,Furious 7,Vengeance hits home.,2015-04-01,"['Action', 'Thriller', 'Crime']","{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/zOCnMPoUxgJK1RFPfN4PcnT16gr.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",en,190000000,1515400000,137,7.225,10764,14.7346,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['James Wan'],"['Original Film', 'One Race', 'Universal Pictures']"
99861,False,tt2395427,Avengers: Age of Ultron,False,https://www.marvel.com/movies/avengers-age-of-ultron,Avengers: Age of Ultron,A new age has come.,2015-04-22,"['Action', 'Adventure', 'Science Fiction']","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",en,365000000,1405403694,141,7.271,23350,17.9154,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Joss Whedon'],['Marvel Studios']
284054,False,tt1825683,Black Panther,False,https://www.marvel.com/movies/black-panther,Black Panther,Long live the king.,2018-02-13,"['Action', 'Adventure', 'Science Fiction']","{'id': 529892, 'name': 'Black Panther Collection', 'poster_path': '/VtMkk2s92SnDUt8eYyUyYaSJQK.jpg', 'backdrop_path': '/nsiBzWsmmerBMuD8TKHpYBTnfhD.jpg'}",en,200000000,1349926083,135,7.373,22493,17.6657,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Ryan Coogler'],['Marvel Studios']
12445,False,tt1201607,Harry Potter and the Deathly Hallows: Part 2,False,https://www.warnerbros.com/movies/harry-potter-and-deathly-hallows-part-2/,Harry Potter and the Deathly Hallows: Part 2,It all ends.,2011-07-12,"['Fantasy', 'Adventure']","{'id': 1241, 'name': 'Harry Potter Collection', 'poster_path': '/s4hXqX1VyWMc2ctJRuNBDB7YNJ3.jpg', 'backdrop_path': '/kmEsQL2vOTA0jnM28fXS45Ky8kX.jpg'}",en,125000000,1341511219,130,8.087,20942,18.1794,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['David Yates'],"['Warner Bros. Pictures', 'Heyday Films']"
181808,False,tt2527336,Star Wars: The Last Jedi,False,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi,Darkness rises...and light to meet it.,2017-12-13,"['Adventure', 'Action', 'Science Fiction']","{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/aSrMJYmQX8kpF26LijkCsYhBMvm.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}",en,200000000,1332698830,152,6.78,15534,10.5768,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['Rian Johnson'],['Lucasfilm Ltd.']
330457,False,tt4520988,Frozen II,False,https://movies.disney.com/frozen-2,Frozen II,The past is not what it seems.,2019-11-20,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","{'id': 386382, 'name': 'Frozen Collection', 'poster_path': '/13Op41T3cALJedrKqYPrlc3cIbO.jpg', 'backdrop_path': '/s3vdRkK7KZFUDC8HEJo2GRKyVhW.jpg'}",en,150000000,1453683476,103,7.2,9870,12.6312,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]","['Jennifer Lee', 'Chris Buck']","['Walt Disney Pictures', 'Walt Disney Animation Studios']"
351286,False,tt4881806,Jurassic World: Fallen Kingdom,False,https://www.uphe.com/movies/jurassic-world-fallen-kingdom,Jurassic World: Fallen Kingdom,The park is gone.,2018-06-06,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/njFixYzIxX8jsn6KMSEtAzi4avi.jpg'}",en,170000000,1310466296,129,6.538,12007,13.5491,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['J.A. Bayona'],"['Amblin Entertainment', 'Universal Pictures']"
